short_name,name
st,safetyType
bm,battMode,
ss,solarSell
pml,pvMaxLimit
em,energyMode
pav,peakAndVallery
swm,sysWorkMode
s1,sellTime1
s2,sellTime2
s3,sellTime3
s4,sellTime4
s5,sellTime5
s6,sellTime6
s1p,sellTime1Pac
s2p,sellTime2Pac
s3p,sellTime3Pac
s4p,sellTime4Pac
s5p,sellTime5Pac
s6p,sellTime6Pac
c1,cap1
c2,cap2
c3,cap3
c4,cap4
c5,cap5
c6,cap6
s1v,sellTime1Volt
s2v,sellTime2Volt
s3v,sellTime3Volt
s4v,sellTime4Volt
s5v,sellTime5Volt
s6v,sellTime6Volt
zep,zeroExportPower
msp,solarMaxSellPower
dmo,mondayOn
dtu,tuesdayOn
dwe,wednesdayOn
dth,thursdayOn
dfr,fridayOn
dsa,saturdayOn
dsu,sundayOn
gr1,time1on
gr2,time2on
gr3,time3on
gr4,time4on
gr5,time5on
gr6,time6on
ge1,genTime1on
ge2,genTime2on
ge3,genTime3on
ge4,genTime4on
ge5,genTime5on
ge6,genTime6on