name,type
safetyType,int
battMode,int,
solarSell,int
pvMaxLimit,int
energyMode,int
peakAndVallery,int
sysWorkMode,int
sellTime1,time
sellTime2,time
sellTime3,time
sellTime4,time
sellTime5,time
sellTime6,time
sellTime1Pac,int
sellTime2Pac,int
sellTime3Pac,int
sellTime4Pac,int
sellTime5Pac,int
sellTime6Pac,int
cap1,time
cap2,time
cap3,time
cap4,time
cap5,time
cap6,time
sellTime1Volt,time
sellTime2Volt,time
sellTime3Volt,time
sellTime4Volt,time
sellTime5Volt,time
sellTime6Volt,time
zeroExportPower,int
solarMaxSellPower,int
mondayOn,bool
tuesdayOn,bool
wednesdayOn,bool
thursdayOn,bool
fridayOn,bool
saturdayOn,bool
sundayOn,bool
time1on,bool
time2on,bool
time3on,bool
time4on,bool
time5on,bool
time6on,bool
genTime1on,bool
genTime2on,bool
genTime3on,bool
genTime4on,bool
genTime5on,bool
genTime6on,bool